match,pick,league,entry,pin_48h,pin_24h,pin_1h,pin_close,pin_clv,result,gb_fair
Brentford v Fulham,Brentford,Premier League,2.16,,,,,+6.93%,TBD,
Newcastle v Bournemouth,Bournemouth,Premier League,3.6,,,,,+15.38%,W,
Spurs v Brighton,Brighton,Premier League,2.56,,,,,+13.27%,L,
Chelsea v Man Utd,Man Utd,Premier League,3.2,,,,,-6.82%,W,
Villa v Sunderland,Villa,Premier League,1.69,,,,,-3.43%,W,
Forest v Burnley,Forest,Premier League,1.55,,,,,+3.33%,W,
Everton v Liverpool,Liverpool,Premier League,2.22,,,,,-5.53%,W,
City v Arsenal,City,Premier League,1.94,,,,,+3.74%,W,
Palace v West Ham,Palace,Premier League,2.3,,,,,-12.88%,TBD,
Leeds v Wolves,Leeds,Premier League,1.61,,,,,-5.23%,W,
Lens v Toulouse,Lens,Ligue 1,1.59,,,,,+3.25%,W,
Lorient v Marseille,Marseille,Ligue 1,1.77,,,,,+6.63%,L,
Angers v Le Havre,Angers,Ligue 1,2.86,,,,,-17.00%,D,
Lille v Nice,Lille,Ligue 1,1.6,,,,,+5.37%,L,
Monaco v Auxerre,Monaco,Ligue 1,1.58,,,,,+0.00%,L,
Nantes v Brest,Nantes,Ligue 1,2.48,,,,,+0.40%,D,
Metz v Paris FC,Paris FC,Ligue 1,2.16,,,,,-6.49%,L,
Strasbourg v Rennes,Rennes,Ligue 1,2.66,,,,,+45.36%,W,
PSG v Lyon,PSG,Ligue 1,1.34,,,,,+0.00%,L,
Brighton v Chelsea,Brighton,Premier League,2.44,,,,,+4.72%,W,
Bournemouth v Leeds,Bournemouth,Premier League,2.02,,,,,+9.19%,D,
Sunderland v Forest,Forest,Premier League,2.52,,,,2.73,-7.69%,W,
Mallorca v Valencia,Mallorca,La Liga,2.56,,,,,-7.25%,D,
Bilbao v Osasuna,Bilbao,La Liga,1.79,,,,,-3.76%,W,
Girona v Betis,Girona,La Liga,2.69,,,,,+8.91%,L,
Elche v Atletico,Elche,La Liga,2.57,,,,,+5.76%,W,
Levante v Sevilla,Levante,La Liga,2.61,,,,,+4.82%,W,
Rayo v Espanyol,Rayo,La Liga,2.2,,,,,+1.38%,W,
Oviedo v Villarreal,Villarreal,La Liga,1.75,,,,1.93,-9.33%,D,
Man Utd v Brentford,Man Utd,Premier League,1.83,,,,2.01,-8.96%,W,
Real Sociedad v Getafe,Real Sociedad,La Liga,2.18,,,,2.32,-6.03%,L,
West Ham v Everton,West Ham,Premier League,2.44,,,,2.55,-4.31%,W,
Alaves v Mallorca,Alaves,La Liga,2.15,,,,2.1,+2.38%,W,
Lyon v Auxerre,Lyon,Ligue 1,1.68,,,,1.66,+1.20%,W,
Fulham v Villa,Villa,Premier League,2.75,,,,2.81,-2.14%,L,
Wolves v Tottenham,Tottenham,Premier League,1.74,,,,1.64,+6.10%,W,
Liverpool v Crystal Palace,Palace,Premier League,6.64,,,,5.6,+18.57%,L,
Arsenal v Newcastle,Arsenal,Premier League,1.49,,,,1.4,+6.43%,TBD,
Valencia v Girona,Valencia,La Liga,1.925,,,,2.37,-18.78%,TBD,
Toulouse v Monaco,Monaco,Ligue 1,2.08,,,,1.71,+21.64%,D,
Atletico v Athletic Bilbao,Atletico,La Liga,2.15,,,,1.93,+11.40%,W,
Osasuna v Sevilla,Osasuna,La Liga,2.15,,,,1.94,+10.82%,W,
Villarreal v Celta,Villarreal,La Liga,1.99,,,,1.91,+4.19%,W,
Oviedo v Elche,Oviedo,La Liga,2.34,,,,2.36,-0.85%,L,
Lorient v Strasbourg,Lorient,Ligue 1,2.26,,,,2.17,+4.15%,L,
Paris FC v Lille,Lille,Ligue 1,1.943,,,,1.76,+10.40%,W,
Le Havre v Metz,Le Havre,Ligue 1,1.649,,,,1.61,+2.42%,L,
Rennes v Nantes,Rennes,Ligue 1,1.416,,,,1.48,-4.32%,W,
Marseille v Nice,Marseille,Ligue 1,1.454,,,,1.74,-16.44%,L,
Rayo v Real Sociedad,Real Sociedad,La Liga,3.19,,,,2.69,+18.59%,TBD,
Espanyol v Levante,Levante,La Liga,4.12,,,,3.69,+11.65%,L,
Arsenal v Fulham,Fulham,Premier League,7.85,,,,7.75,+1.29%,L,
Brentford v West Ham,Brentford,Premier League,1.99,,,,1.89,+5.29%,W,
Wolves v Sunderland,Sunderland,Premier League,2.34,,,,2.06,+13.59%,D,
Newcastle v Brighton,Brighton,Premier League,2.66,,,,2.51,+5.98%,L,
Bournemouth v Crystal Palace,Bournemouth,Premier League,1.65,,,,1.58,+4.43%,W,
Man Utd v Liverpool,Man Utd,Premier League,2.41,,,,2.42,-0.41%,W,
Aston Villa v Tottenham,Aston Villa,Premier League,2.2,,,,2.29,-3.93%,L,
Chelsea v Nottm Forest,Chelsea,Premier League,1.714,,,,1.43,+19.86%,TBD,
Everton v Man City,Man City,Premier League,1.458,,,,1.45,+0.55%,D,
Girona v Mallorca,Mallorca,La Liga,3.86,,,,4.18,-7.66%,W,
Villarreal v Levante,Villarreal,La Liga,1.709,,,,1.93,-11.45%,W,
Valencia v Atletico,Valencia,La Liga,1.961,,,,1.71,+14.68%,TBD,
Alaves v Athletic Bilbao,Alaves,La Liga,2.71,,,,2.87,-5.57%,L,
Celta v Elche,Elche,La Liga,4.46,,,,4.78,-6.69%,L,
Osasuna v Barcelona,Barcelona,La Liga,1.833,,,,1.68,+9.11%,W,
Real Betis v Real Oviedo,Real Oviedo,La Liga,5.83,,,,6.17,-5.51%,TBD,
Espanyol v Real Madrid,Real Madrid,La Liga,1.64,,,,1.8,-8.89%,W,
Getafe v Rayo Vallecano,Rayo Vallecano,La Liga,4.08,,,,4.38,-6.85%,W,
Sevilla v Real Sociedad,Real Sociedad,La Liga,2.85,,,,3.17,-10.09%,L,
PSG v Lorient,PSG,Ligue 1,1.221,,,,,,TBD,
Metz v Monaco,Monaco,Ligue 1,1.413,,,,1.35,+4.67%,W,
Nice v Lens,Lens,Ligue 1,1.769,,,,1.74,+1.67%,D,
Lille v Le Havre,Lille,Ligue 1,1.406,,,,1.37,+2.63%,D,
Strasbourg v Toulouse,Toulouse,Ligue 1,2.83,,,,2.35,+20.43%,W,
Auxerre v Angers,Auxerre,Ligue 1,1.74,,,,1.81,-3.87%,W,
Paris FC v Brest,Paris FC,Ligue 1,2.04,,,,1.91,+6.81%,W,
Leeds v Burnley,Leeds,Premier League,1.44,,,,1.42,+1.41%,W,
Lyon v Rennes,Lyon,Ligue 1,2.22,,,,2.09,+6.22%,W,
Brighton v Man Utd,Man Utd,Premier League,3.51,3.73,3.89,3.63,3.49,+0.57%,W,
Atletico v Villarreal,Atletico,La Liga,2.74,2.8,2.79,2.58,2.58,+6.20%,L,
Lens v Nantes,Lens,Ligue 1,1.39,,,,1.47,-5.44%,W,
Rennes v Paris FC,Rennes,Ligue 1,1.476,,,,1.57,-5.99%,W,
Monaco v Lille,Monaco,Ligue 1,2.3,,,,2.7,-14.81%,L,
Le Havre v Marseille,Le Havre,Ligue 1,3.54,,,,3.88,-8.76%,L,
PSG v Brest,PSG,Ligue 1,1.142,,,,1.19,-4.03%,W,
Angers v Strasbourg,Angers,Ligue 1,3.31,,,,2.77,+19.49%,D,
Auxerre v Nice,Auxerre,Ligue 1,2.42,,,,2.35,+2.98%,W,
Metz v Lorient,Lorient,Ligue 1,2.13,,,,2.39,-10.88%,L,
Toulouse v Lyon,Lyon,Ligue 1,1.75,,,,1.9,-7.89%,L,
Brighton v Wolves,Brighton,Premier League,1.28,,,,1.27,+0.79%,W,
Liverpool v Chelsea,Liverpool,Premier League,1.869,,,,2.06,-9.27%,D,
Fulham v Bournemouth,Bournemouth,Premier League,2.45,,,,2.5,-2.00%,W,
Sunderland v Man Utd,Man Utd,Premier League,1.93,,,,2.1,-8.10%,D,
Man City v Brentford,Man City,Premier League,1.346,,,,1.35,-0.30%,W,
Burnley v Villa,Villa,Premier League,1.591,,,,1.52,+4.67%,D,
Forest v Newcastle,Newcastle,Premier League,2.61,,,,2.17,+20.28%,D,
Palace v Everton,Everton,Premier League,2.71,,,,2.66,+1.88%,D,
West Ham v Arsenal,Arsenal,Premier League,1.649,,,,1.57,+5.03%,TBD,
Levante v Osasuna,Levante,La Liga,2.63,,,,2.55,+3.14%,W,
Elche v Alaves,Alaves,La Liga,3.3,,,,3.45,-4.35%,D,
Sevilla v Espanyol,Sevilla,La Liga,2.1,,,,2.01,+4.48%,W,
Atletico v Celta,Atletico,La Liga,2.12,,,,1.86,+13.98%,L,
Sociedad v Betis,Sociedad,La Liga,2.48,,,,2.53,-1.98%,D,
Mallorca v Villarreal,Mallorca,La Liga,2.38,,,,2.53,-5.93%,D,
Bilbao v Valencia,Bilbao,La Liga,1.751,,,,1.67,+4.85%,L,
Oviedo v Getafe,Oviedo,La Liga,3.16,,,,2.79,+13.26%,D,
Barca v Real Madrid,Barca,La Liga,1.84,,,,1.66,+10.84%,W,
Rayo v Girona,Girona,La Liga,3.04,,,,3.43,-11.37%,D,
Osasuna v Atletico Madrid,Atletico,La Liga,2.84,,,,2.68,+5.97%,L,
Alaves v Barcelona,Barcelona,La Liga,2.19,,,,,-2.74%,L,
Espanyol v Athletic Bilbao,Bilbao,La Liga,2.81,,,,2.98,-5.71%,L,
Villarreal v Sevilla,Villarreal,La Liga,2.07,,,,2.19,-5.48%,L,
Lens v PSG,PSG,Ligue 1,2.01,,,,2.09,-3.83%,W,
Aston Villa v Liverpool,Aston Villa,Premier League,2.98,,,2.74,,+8.76%,W,
Man Utd v Nottingham Forest,Forest,Premier League,4.98,,,,,-13.39%,L,
Brentford v Crystal Palace,Palace,Premier League,4.15,,,,,-9.19%,L,
Everton v Sunderland,Sunderland,Premier League,4.23,,,,,+0.47%,W,
Leeds v Brighton,Brighton,Premier League,2.2,,,,,+5.77%,L,
Wolves v Fulham,Fulham,Premier League,1.91,,,,,+2.14%,L,
Newcastle v West Ham,Newcastle,Premier League,2.09,,,,,-0.48%,W,
Atletico v Girona,Atletico,La Liga,1.84,,,,,+2.22%,W,
Barcelona v Betis,Barcelona,La Liga,1.38,,,,,+3.76%,W,
Elche v Getafe,Elche,La Liga,2.32,,,,,-0.43%,W,
Levante v Mallorca,Levante,La Liga,2.16,,,,,+1.41%,W,
Osasuna v Espanyol,Osasuna,La Liga,1.99,,,,,-10.76%,L,
Rayo v Villarreal,Villarreal,La Liga,2.82,,,,,-27.13%,L,
Real Oviedo v Alaves,Oviedo,La Liga,4.3,,,,,+8.86%,L,
Sociedad v Valencia,Sociedad,La Liga,2.04,,,,,-17.07%,L,
Sevilla v Real Madrid,Real Madrid,La Liga,2.21,,,,,+10.50%,W,
Strasbourg v Monaco,Monaco,Ligue 1,2.26,,,,,+14.14%,W,
Lyon v Lens,Lyon,Ligue 1,1.78,,,,,+9.80%,L,
Marseille v Rennes,Rennes,Ligue 1,3.46,,,,,-6.74%,L,
Nice v Metz,Nice,Ligue 1,1.35,,,,,+6.30%,W,
Lorient v Le Havre,Lorient,Ligue 1,2.53,,,,,+7.20%,W,
Paris FC v PSG,Paris FC,Ligue 1,6.24,,,,,+0.48%,W,
Lille v Auxerre,Lille,Ligue 1,1.43,,,,,-1.38%,L,
Nantes v Toulouse,Toulouse,Ligue 1,2.61,,,,,+4.82%,VOID,
Brest v Angers,Angers,Ligue 1,4.28,,,,,+5.68%,L,
Getafe v Osasuna,Osasuna,La Liga,3.49,3.69,3.35,3.29,3.17,+10.09%,L,
Espanyol v Sociedad,Espanyol,La Liga,2.53,2.52,2.34,2.28,2.51,+0.80%,D,
Alaves v Rayo,Alaves,La Liga,2.4,2.47,2.49,2.35,2.15,+11.63%,L,
Valencia v Barcelona,Barcelona,La Liga,1.9,1.9,1.9,2.02,1.96,-3.00%,L,
Mallorca v Oviedo,Mallorca,La Liga,1.46,1.46,1.46,1.48,1.47,-0.68%,W,
Celta v Sevilla,Sevilla,La Liga,4.93,4.9,5.03,4.42,4.82,+2.28%,L,
Betis v Levante,Levante,La Liga,3.03,3.53,3.34,3.15,3.07,-1.30%,L,
Girona v Elche,Elche,La Liga,4.34,4.4,3.43,3.34,4.49,-3.34%,D,
Villarreal v Atletico Madrid,Atletico Madrid,La Liga,2.74,2.8,2.79,2.58,2.58,+6.20%,L,
Fulham v Newcastle,Newcastle,Premier League,2.29,2.38,2.37,2.66,2.64,-13.26%,L,
Brighton v Man United,Man United,Premier League,3.51,3.73,3.89,3.63,3.49,+0.57%,W,
West Ham v Leeds,West Ham,Premier League,1.94,1.87,1.8,1.75,1.74,+11.49%,W,
Sunderland v Chelsea,Sunderland,Premier League,3.63,3.6,3.53,3.61,3.47,+4.61%,W,
Nottm Forest v Bournemouth,Bournemouth,Premier League,2.16,2.07,2.06,2.03,1.97,+9.64%,D,
Tottenham v Everton,Everton,Premier League,1.92,1.87,1.92,1.97,1.96,-2.04%,W,
Liverpool v Brentford,Brentford,Premier League,4.11,3.9,3.86,4.04,4.25,-3.29%,D,
Burnley v Wolves,Burnley,Premier League,2.47,2.36,2.36,2.47,2.43,+1.65%,D,
Morocco v Brazil,Morocco,World Cup,6.07,,,,5.7,+6.49%,TBD,
Cape Verde v Spain,Cape Verde,World Cup,28.85,,,,25.0,+15.40%,TBD,
Saudi Arabia v Uruguay,Saudi Arabia,World Cup,7.29,,,,8.0,-8.88%,TBD,
Qatar v Switzerland,Switzerland,World Cup,1.23,1.23,1.22,1.21,1.2,+2.50%,TBD,
Haiti v Scotland,Scotland,World Cup,1.5,1.58,1.57,1.55,1.56,-3.85%,TBD,
Australia v Turkey,Turkey,World Cup,1.72,1.64,1.74,1.74,1.72,+0.03%,TBD,
Netherlands v Japan,Netherlands,World Cup,2.03,2.01,2.01,2.12,2.04,-0.49%,TBD,
Ivory Coast v Ecuador,Ecuador,World Cup,2.44,2.45,2.43,2.48,2.56,-4.69%,TBD,
Sweden v Tunisia,Sweden,World Cup,1.92,1.89,1.92,1.96,1.86,+3.23%,TBD,
Belgium v Egypt,Belgium,World Cup,1.67,1.61,1.62,1.57,1.53,+9.15%,TBD,
England v Croatia,England,World Cup,1.72,1.73,1.74,1.68,1.66,+3.59%,TBD,
Ghana v Panama,Panama,World Cup,3.43,3.4,3.46,3.34,3.32,+3.31%,TBD,
Uzbekistan v Colombia,Uzbekistan,World Cup,9.19,9.57,10.0,10.0,10.0,-8.10%,TBD,
Czech v South Africa,South Africa,World Cup,4.67,4.61,4.75,4.6,4.6,+1.52%,TBD,
Switzerland v Bosnia,Switzerland,World Cup,1.54,1.54,1.53,1.58,1.51,+1.91%,TBD,
Canada v Qatar,Canada,World Cup,1.27,1.29,1.31,1.3,1.27,+0.00%,TBD,
Mexico v South Korea,Korea,World Cup,4.04,4.11,4.08,4.2,4.15,-2.65%,TBD,
USA v Australia,Australia,World Cup,5.43,5.24,5.25,5.4,5.53,-1.80%,TBD,
Scotland v Morocco,Morocco,World Cup,1.95,1.74,1.75,1.66,1.68,+16.07%,TBD,
Brazil v Haiti,Haiti,World Cup,22.15,21.89,20.13,20.0,19.0,+16.58%,TBD,
Turkey v Paraguay,Turkey,World Cup,2.21,2.03,2.04,2.04,2.1,+5.24%,TBD,
Netherlands v Sweden,Sweden,World Cup,4.8,4.79,5.03,4.9,4.91,-2.24%,TBD,
Colombia v DR Congo,DR Congo,World Cup,6.96,6.92,6.41,7.5,7.5,-7.20%,TBD,
Switzerland v Canada,Switzerland,World Cup,2.5,2.52,2.45,2.56,2.6,-3.85%,TBD,
South Africa v Korea,South Korea,World Cup,1.66,1.66,1.71,1.71,1.68,-1.19%,TBD,
Curacao v Ivory Coast,Curacao,World Cup,17.2,16.59,16.0,15.0,15.0,+14.67%,TBD,
Ecuador v Germany,Ecuador,World Cup,4.39,3.76,3.8,4.75,4.5,-2.44%,TBD,
Japan v Sweden,Japan,World Cup,2.12,1.87,1.87,2.06,2.06,+2.91%,TBD,
Turkey v USA,USA,World Cup,2.39,1.94,1.94,1.8,1.8,+32.80%,L,
